fric,rollfric,rest,aor,aor_std,bulk_density,n_ok,hash,trial_dir
0.3545,0.1754,0.607,27.533183775396736,0.02410195550319294,784.3154578102103,2,5f6c9dfb9c,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/5f6c9dfb9c/seed49979687
0.5992,0.1682,0.4895,29.908122890439262,1.294886224582033,761.7850590906213,2,3193acb963,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/3193acb963/seed49979687
0.4319,0.0259,0.421,14.674296312090856,0.422673977773651,799.3806915607568,2,3355cedb1b,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/3355cedb1b/seed49979687
0.35,0.1259,0.6045,25.04425863858686,0.3361378640849946,786.8165944442612,2,da22f7a585,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/da22f7a585/seed49979687
0.5874,0.1203,0.4523,26.721746559237644,0.6956148261322639,767.4915343142663,2,1782f341bc,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/1782f341bc/seed49979687
0.2609,0.2459,0.5303,28.1467874522529,0.9567679131469209,793.8429432349434,2,8ff5b24d02,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/8ff5b24d02/seed49979687
0.3812,0.0811,0.3089,20.332455262691667,0.04618837617971572,784.4580843508693,2,21d2f121d5,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/21d2f121d5/seed49979687
0.2477,0.2249,0.4945,27.13958117707658,0.365336570707365,794.5797023188211,2,ac62a6dd9d,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/ac62a6dd9d/seed49979687
0.5223,0.2328,0.4298,33.832743256194874,0.8734488449096212,753.0858848530102,2,b305b92af5,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/b305b92af5/seed49979687
0.3417,0.0013,0.6799,0.0034557528918126345,0.0023775755924466575,821.143080574911,2,8fe41dc737,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/8fe41dc737/seed49979687
0.5678,0.1052,0.4614,23.983651619859394,0.2831299730365391,769.1442480704621,2,e126d98dd2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/e126d98dd2/seed49979687
0.2392,0.0927,0.3498,20.156686200070276,0.40757705682864653,806.1111749792835,2,825e41dbfa,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/825e41dbfa/seed49979687
0.2015,0.0237,0.4846,5.240663894090698,0.16735402159103785,827.2586590509111,2,a4018b2647,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/a4018b2647/seed49979687
0.3975,0.0636,0.4672,19.05280372152317,0.3077769414112108,794.857251951187,2,7fd496f527,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/7fd496f527/seed49979687
0.5385,0.0734,0.5356,20.918601534396654,0.01609585824266091,780.9948003650785,2,712a5e87be,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/712a5e87be/seed49979687
0.5596,0.0306,0.4024,17.48104116372326,0.968598302710781,789.874809694913,2,43e6278b48,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/43e6278b48/seed49979687
0.2836,0.0091,0.3263,1.1335923102270318,0.12595455406570266,816.7828221217735,2,36bec6106b,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/36bec6106b/seed49979687
0.2885,0.1479,0.4352,25.01094971691651,0.8453607952605253,787.3053831827979,2,729c3a6b93,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/729c3a6b93/seed49979687
0.2263,0.1845,0.3729,24.071600187265343,0.6649943711422566,798.8134686085872,2,158e7c53c8,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/158e7c53c8/seed49979687
0.2724,0.1382,0.3546,24.33464217673415,0.02505084460023177,792.681110296147,2,2d4b94e39c,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/2d4b94e39c/seed49979687
0.5132,0.0058,0.3178,4.120726524214672,0.626568173559811,796.5630454163318,2,d42a273568,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/d42a273568/seed49979687
0.2449,0.131,0.4776,21.26132129119763,0.5311629238581759,803.1971417638665,2,50df007859,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/50df007859/seed49979687
0.4132,0.1106,0.553,24.74340414219623,0.7158394747038557,784.5085026794375,2,6fe6c3d631,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/6fe6c3d631/seed49979687
0.5411,0.0494,0.5832,19.030498672447628,0.200816930112234,790.5409125804165,2,f00797b453,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/f00797b453/seed49979687
0.3023,0.1135,0.6428,21.607110195358363,0.06175781216899878,798.7600628753395,2,a354515118,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/a354515118/seed49979687
0.2311,0.1824,0.395,24.034571297481598,0.3740769602095817,796.1045432362516,2,cc15cb2602,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/cc15cb2602/seed49979687
0.5648,0.1512,0.5611,29.32784216223412,0.34102813729689885,769.6524473714139,2,dd83343dd9,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/dd83343dd9/seed49979687
0.4001,0.1374,0.5762,26.48077638169226,0.7200722578409025,783.0769935833864,2,2e92a3d305,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/2e92a3d305/seed49979687
0.3138,0.0539,0.364,17.232317231423483,0.36974100230522566,797.9372501545834,2,d7cee12276,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/d7cee12276/seed49979687
0.5023,0.0367,0.3296,18.596249483357433,0.001426841202311735,788.5638331122675,2,ad603ea448,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/ad603ea448/seed49979687
0.4768,0.1025,0.6333,23.810269295657832,0.5830050280721473,780.0157280767928,2,431fe7b6e1,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/431fe7b6e1/seed49979687
0.2955,0.1622,0.4414,26.12047178031489,0.32651264760282217,790.8937744353518,2,4e527aef46,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/4e527aef46/seed49979687
0.4227,0.0135,0.6251,7.95432076241335,0.41701265135857657,804.3053752599526,2,0f884abbaf,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/0f884abbaf/seed49979687
0.4899,0.0994,0.6969,22.451479366601582,0.28857648143738857,787.5931684346026,2,8e46b744cc,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/8e46b744cc/seed49979687
0.4152,0.0171,0.6634,10.362733082589722,0.48673516959255814,805.9998417729512,2,e65c5d5abf,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/e65c5d5abf/seed49979687
0.4689,0.1709,0.5978,29.873385446381306,0.29639049591792954,773.3332212358489,2,c0cc0b79e3,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/c0cc0b79e3/seed49979687
0.4419,0.1662,0.4145,29.680212765065292,0.23857646438897362,766.5936625032648,2,32602571db,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/32602571db/seed49979687
0.2551,0.1994,0.6173,25.2684834391833,0.7602357316692814,802.2967214947043,2,41680b7b93,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/41680b7b93/seed49979687
0.3717,0.056,0.3911,17.774229454360174,0.6764034504052283,796.0114304991716,2,3c55176fdd,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/3c55176fdd/seed49979687
0.4535,0.212,0.4545,32.76011320927478,0.1239491186992403,763.8304363200762,2,1d511e7bba,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/1d511e7bba/seed49979687
0.5834,0.0895,0.5092,25.445122421800647,0.2697345656864254,773.9179903485965,2,65b6cef82a,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/65b6cef82a/seed49979687
0.5153,0.2281,0.569,34.28881905310903,0.6913809199461554,761.0134723488495,2,8d6bc3fbfc,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/8d6bc3fbfc/seed49979687
0.5478,0.2407,0.6725,34.95174913097527,0.5967509100657935,761.2805647204592,2,97f85c99c5,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/97f85c99c5/seed49979687
0.2173,0.0768,0.3833,18.196576032352382,0.6878130454309836,810.9171285783459,2,6b50e80d7f,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/6b50e80d7f/seed49979687
0.4499,0.1425,0.3053,27.98202382195666,0.5255272658950592,767.6307832164955,2,dd560667b7,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/dd560667b7/seed49979687
